Event	ID	Name			Wwise Object Path	Notes
	3854155799	Play_Footsteps			\Default Work Unit\Play_Footsteps	

Switch Group	ID	Name			Wwise Object Path	Notes
	1834394558	Surface			\Footsteps With Multiple Variables\Surface	

Switch	ID	Name	Switch Group			Notes
	2058049674	Wood	Surface			
	2185786256	Gravel	Surface			
	2195636714	Dirt	Surface			
	2473969246	Metal	Surface			

Game Parameter	ID	Name			Wwise Object Path	Notes
	246300162	Footstep_Weight			\Footsteps With Multiple Variables\Footstep_Weight	0 is a light footstep and 100 is a heavy footstep.  This RTPC drives the Footstep_Weight switch

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	121114457	metalsheet_walk_heel_04_res	D:\WwiseHome\1.Installers\Wwise_v2013.2.1_build_4821\SDK\samples\IntegrationDemo\WwiseProject\.cache\Windows\sfx\footsteps\metalsheet\footstep_walking_hardmetal_04_d99cab05.wem		\Actor-Mixer Hierarchy\Footsteps With Multiple Variables\Footsteps\Metal_Any\Heel\metalsheet_walk_heel_04_res		2404
	209481135	metalsheet_walk_heel_02_res	D:\WwiseHome\1.Installers\Wwise_v2013.2.1_build_4821\SDK\samples\IntegrationDemo\WwiseProject\.cache\Windows\sfx\footsteps\metalsheet\footstep_walking_hardmetal_02_14b87dff.wem		\Actor-Mixer Hierarchy\Footsteps With Multiple Variables\Footsteps\Metal_Any\Heel\metalsheet_walk_heel_02_res		3412
	241699658	metalsheet_walk_toe_02_res	D:\WwiseHome\1.Installers\Wwise_v2013.2.1_build_4821\SDK\samples\IntegrationDemo\WwiseProject\.cache\Windows\sfx\footsteps\metalsheet\footstep_walking_hardmetal_02_a5033884.wem		\Actor-Mixer Hierarchy\Footsteps With Multiple Variables\Footsteps\Metal_Any\Toe\metalsheet_walk_toe_02_res		3196
	269683302	metalsheet_walk_toe_01_res	D:\WwiseHome\1.Installers\Wwise_v2013.2.1_build_4821\SDK\samples\IntegrationDemo\WwiseProject\.cache\Windows\sfx\footsteps\metalsheet\footstep_walking_hardmetal_01_9bcafed6.wem		\Actor-Mixer Hierarchy\Footsteps With Multiple Variables\Footsteps\Metal_Any\Toe\metalsheet_walk_toe_01_res		5428
	535268333	metalsheet_walk_toe_03_res	D:\WwiseHome\1.Installers\Wwise_v2013.2.1_build_4821\SDK\samples\IntegrationDemo\WwiseProject\.cache\Windows\sfx\footsteps\metalsheet\footstep_walking_hardmetal_03_9de1e836.wem		\Actor-Mixer Hierarchy\Footsteps With Multiple Variables\Footsteps\Metal_Any\Toe\metalsheet_walk_toe_03_res		7156
	664900215	metalsheet_walk_heel_01_res	D:\WwiseHome\1.Installers\Wwise_v2013.2.1_build_4821\SDK\samples\IntegrationDemo\WwiseProject\.cache\Windows\sfx\footsteps\metalsheet\footstep_walking_hardmetal_01_d01144ab.wem		\Actor-Mixer Hierarchy\Footsteps With Multiple Variables\Footsteps\Metal_Any\Heel\metalsheet_walk_heel_01_res		3124
	667657885	metalsheet_walk_toe_04_res	D:\WwiseHome\1.Installers\Wwise_v2013.2.1_build_4821\SDK\samples\IntegrationDemo\WwiseProject\.cache\Windows\sfx\footsteps\metalsheet\footstep_walking_hardmetal_04_15fd2b9c.wem		\Actor-Mixer Hierarchy\Footsteps With Multiple Variables\Footsteps\Metal_Any\Toe\metalsheet_walk_toe_04_res		5860
	715100575	metalsheet_walk_heel_03_res	D:\WwiseHome\1.Installers\Wwise_v2013.2.1_build_4821\SDK\samples\IntegrationDemo\WwiseProject\.cache\Windows\sfx\footsteps\metalsheet\footstep_walking_hardmetal_03_c71f5238.wem		\Actor-Mixer Hierarchy\Footsteps With Multiple Variables\Footsteps\Metal_Any\Heel\metalsheet_walk_heel_03_res		3556
	753066208	metalsheet_walk_toe_05_res	D:\WwiseHome\1.Installers\Wwise_v2013.2.1_build_4821\SDK\samples\IntegrationDemo\WwiseProject\.cache\Windows\sfx\footsteps\metalsheet\footstep_walking_hardmetal_05_f3b1a4ab.wem		\Actor-Mixer Hierarchy\Footsteps With Multiple Variables\Footsteps\Metal_Any\Toe\metalsheet_walk_toe_05_res		6112
	906530360	metalsheet_walk_heel_05_res	D:\WwiseHome\1.Installers\Wwise_v2013.2.1_build_4821\SDK\samples\IntegrationDemo\WwiseProject\.cache\Windows\sfx\footsteps\metalsheet\footstep_walking_hardmetal_05_71fa2e7c.wem		\Actor-Mixer Hierarchy\Footsteps With Multiple Variables\Footsteps\Metal_Any\Heel\metalsheet_walk_heel_05_res		3232

